Name,Property,.TOE,Created,Tags,song,twitch
resources,,,"November 12, 2023 6:16 PM",,,
caustics - luke heckaman,,,"November 12, 2023 6:16 PM",,,
Page 3,,,"November 12, 2023 6:16 PM",,,
mediapipe touchdesigner,,,"November 28, 2023 3:41 AM",,,
risograph - supermarketsallad,,,"May 10, 2026 8:52 AM","ai, creativecode, risograph, stream, supermarketsallad, touchdesigner",,https://www.twitch.tv/tinyspigot
FILM GRAIN,,,"May 12, 2026 12:54 AM","#top, touchdesigner",,https://www.twitch.tv/tinyspigot
layout,,NEWPROJECT1.TOE,"May 13, 2026 8:11 AM",,,https://www.twitch.tv/tinyspigot
water,,WATER.TOE,"May 14, 2026 9:33 AM","#top, stream, touchdesigner",,https://www.twitch.tv/tinyspigot
media pipe intro,https://www.youtube.com/watch?v=sHy_xK2IPsU,,"May 14, 2026 4:56 PM",,Cornell Dupree Hot Licks Full VHS,https://www.twitch.tv/tinyspigot
chord finger harmonies,,,"May 14, 2026 5:07 PM",mediapipe,,
finger colorshift,https://vdo.ninja/?view=loopy2&p=loopy2,,"May 15, 2026 8:39 AM","#top, mediapipe, stream, touchdesigner",,
THE MATRIX,,,"May 15, 2026 4:20 PM",,,
signal rot,,,"May 15, 2026 7:29 PM",,,
